Ciclo 0:
1 1 1 1 4 
1 2 1 1 4 
1 1 1 1 1 
0 0 1 1 1 
1 4 1 0 4 
Posição do animal: (2, 2)

Ciclo 1:
1 2 1 1 4 
2 2 2 1 4 
1 2 1 1 1 
0 0 1 1 1 
1 4 1 0 4 
Posição do animal: (1, 2)

Ciclo 2:
2 2 2 1 4 
2 3 2 2 4 
2 2 2 1 1 
0 0 1 1 1 
1 4 1 0 4 
Posição do animal: (0, 2)

Ciclo 3:
2 3 2 2 4 
3 3 3 2 4 
2 3 2 2 1 
0 0 2 1 1 
1 4 1 0 4 
Posição do animal: (0, 3)

Ciclo 4:
3 3 3 1 0 
3 3 3 3 1 
3 3 3 2 2 
0 0 2 2 1 
1 4 2 0 4 
Posição do animal: (0, 4)

Ciclo 5:
3 3 3 1 0 
3 3 3 3 2 
3 3 3 3 2 
0 0 3 2 2 
1 4 2 0 4 
Posição do animal: (0, 4)

Ciclo 6:
3 3 3 1 0 
3 3 3 3 2 
3 3 3 3 3 
0 0 3 3 2 
1 4 3 0 4 
Posição do animal: (0, 4)

Ciclo 7:
3 3 3 1 0 
3 3 3 3 3 
3 3 3 3 3 
0 0 3 3 3 
1 4 3 0 4 
Posição do animal: (0, 4)

Ciclo 8:
3 3 3 1 0 
3 3 3 3 3 
3 3 3 3 3 
0 0 3 3 3 
1 4 3 0 4 
Posição do animal: (0, 3)

Ciclo 9:
3 3 3 1 0 
3 3 3 3 3 
3 3 3 3 3 
0 0 3 3 3 
1 4 3 0 4 
Posição do animal: (0, 4)

Ciclo 10:
3 3 3 1 0 
3 3 3 3 3 
3 3 3 3 3 
0 0 3 3 3 
1 4 3 0 4 
Posição do animal: (0, 4)

O animal sobreviveu!
Número de passos: 6
